FilmID,NominationID,Title
2767052,an0051248,Chang
3,an0051249,The Crowd
41865,an0051254a,7th Heaven
11870085,an0051271,The Private Life of Helen of Troy
13335037,an0051244,The Racket
6148028,an0053788,Hollywood Revue
5,an0053793,Alibi
7260188,an0053802,The Divine Lady
2,an0053790,The Patriot
15881,an0053824,Our Dancing Daughters
6,an0053850,Anna Christie
136251,an0053852,Their Own Desire
1,an0053840,The Green Goddess
100915,an0053847,The Divorcee
28187,an0053839,Disraeli
19063,an0050118,
49041,an0050076,East Lynne
256683,an0050101,The Doorway to Hell
428263,an0050086,Morocco
113436,an0050078,Skippy
119322,an0053440,The Guardsman
22628,an0053473,Screen Souvenirs
11735983,an0053438,The Champ
375802,an0053470,Stout Hearts and Willing Hands
1656001,an0053457,Transatlantic
99561,an0052217,Lady for a Day
38709,an0052206,State Fair
6442769,an0052241,
231804,an0052213,Cavalcade
6186357,an0052197,Cavalcade
18710190,an0056498,The Thin Man
18131,an0056497,One Night of Love
452306,an0056523,Imitation of Life
8127,an0056524,Cleopatra
3777732,an0056493,One Night of Love
9460487,an0050290,Les Miserables
1217100,an0050252,The Dark Angel
4374400,an0050317,Camera Thrills
28186,an0050301,Top Hat
1582996,an0050269,The Dark Angel
2120932,an0056293,San Francisco
15745753,an0056263,A Tale of Two Cities
7735333,an0056292,The Great Ziegfeld
4502507,an0056306,Lloyds of London
6304335,an0056257,Dodsworth
7171637,an0047952,Ali Baba Goes to Town
24770,an0047925,Walter Wanger's Vogues of 1938
6339664,an0047977,The Private Life of the Gannets
10507293,an0047948,A Damsel in Distress
561456,an0047885,Camille
11127,an0049916,The Great Waltz
3609760,an0053632,
249747,an0049870,The Citadel
6487308,an0049890,Vivacious Lady
439288,an0049876,Test Pilot
47281,an0047498,Man of Conquest
2839,an0055843,
30183,an0047539,Of Mice and Men
11387515,an0047459,Wuthering Heights
11235712,an0047543,They Shall Have Music
7631105,an0053047,The Dark Command
24337,an0052929,Kitty Foyle
49750,an0053057,One Million B.C.
11614718,an0052935,Foreign Correspondent
17061,an0053010,The Letter
140225,an0056901,You'll Never Get Rich
9520360,an0056802,Citizen Kane
39999,an0056882,Dr. Jekyll and Mr. Hyde
6752378,an0056915,Sergeant York
2213661,an0056811,Here Comes Mr. Jordan
28194,an0051640,Holiday Inn
8755776,an0051735,The Shanghai Gesture
10365,an0051755,Desert Wonderland
16068905,an0051741,Flying with Music
9275658,an0051701,Yankee Doodle Dandy
65605,an0049680,Stage Door Canteen
7747374,an0049580,Heaven Can Wait
121749,an0049672,In Old Oklahoma
16143347,an0049572,For Whom the Bell Tolls
10025305,anxxx020,Bismarck Convoy Smashed
3236307,an0052692,Swooner Crooner
6936382,an0052667,Three Russian Girls
119324,an0052546,Going My Way
22232,an0052628,Wilson
7090447,an0052657,Christmas Holiday
7864437,an0056075,Spellbound
6567017,an0056002,The Bells of St. Mary's
2282133,an0056055,A Song to Remember
233818,an0056009,Marie-Louise
50,an0056058,Spellbound
7896527,an0047629,The Killers
2802316,an0047594,The Yearling
3950967,an0047605,Children of Paradise
3975774,an0047570,It's a Wonderful Life
6479259,an0047663,Atomic Power
5996153,an0048679,Gentleman's Agreement
862041,an0048692,Monsieur Verdoux
16248068,an0048713,The Bishop's Wife
46799,an0048656,Crossfire
12127750,an0048671,Ride the Pink Horse
7791997,an0050072,Operation Vittles
6482837,an0050053,Romance on the High Seas
51738,an0050021,The Three Musketeers
2248573,an0049981,When My Baby Smiles at Me
676924,an0050034,Joan of Arc
16101128,an0052267,
18335634,an0056201,Sands of Iwo Jima
8492825,an0056158,Battleground
18122,an0056151,Pinky
307791,an0056169,The Fallen Idol
2866718,an0055078,The Asphalt Jungle
38980,an0055067,Broken Arrow
18635016,an0055143,Three Little Words
7938275,an0751305,Born Yesterday
4268157,an0055061,Born Yesterday
24768,an0050744,Quo Vadis
9593911,an0050675,A Place in the Sun
8490112,an0050701,David and Bathsheba
17878931,an0050749,On the Riviera
51737,an0050682,The Frogmen
84119,an0049255,Moulin Rouge
6527740,an0049342,Viva Zapata!
162085,an0051215,
378,an0049278,My Son John
248704,an0049260,The Member of the Wedding
13152,an0050639,Return to Glennascaul
84981,an0050534,From Here to Eternity
10637766,an0050592,The Actress
3682,an0050532,Julius Caesar
693208,an0050553,Lili
13642,an0054708,On the Waterfront
5148,an0054677,The High and the Mighty
7740152,an0054698,On the Waterfront
65641,an0054724,Brigadoon
8755785,an0054735,The High and the Mighty
22205,an0054177,Summertime
37732,an0054182,Marty
10429045,an0054183,Rebel without a Cause
11260526,an0054247,The Bridges at Toko-Ri
84369,an0054185,East of Eden
1326258,an0051518,Friendly Persuasion
544891,an0049710,
7664041,an0051500,Baby Doll
15812814,an0051545,The Power and the Prize
852470,an0051487,Giant
5664985,an0053549,The Bridge on the River Kwai
12127810,an0053560,An Affair to Remember
2536134,an0053559,Les Girls
53496,an0053516,A Hatful of Rain
764347,an0053534,The Bridge on the River Kwai
11742691,an0055507,Auntie Mame
7937462,an0055492,The Defiant Ones
114345,an0055505,Teacher's Pet
518848,an0055570,Damn Yankees
6644117,an0055567,The Young Lions
8709527,an0049964,
13206828,an0055820,Say One for Me
24765,an0055758,The Nun's Story
4134071,an0055734,Anatomy of a Murder
3980,an0055747,Imitation of Life
6917952,an0051855,Never on Sunday
9673436,an0051902,Never on Sunday
6262365,an0051903,The Rise and Fall of Legs Diamond
6294,an0051853,The Sundowners
15749186,an0051910,Sunrise at Campobello
6931356,an0048480,Breakfast at Tiffany's
1295102,an0048483,The Guns of Navarone
4502877,an0048417,Summer and Smoke
13262783,an0048484,Summer and Smoke
402013,an0056655,
139463,an0053661,The Manchurian Candidate
12936,an0053646,Divorce--Italian Style
902,an0053715,The Manchurian Candidate
305234,an0053698,What Ever Happened to Baby Jane?
2800905,an0053729,To Kill a Mockingbird
23164983,an0048188,How the West Was Won
9067850,an0048163,The Caretakers
114955,an0048217,A New Kind of Love
18460392,an0048156,How the West Was Won
17402605,an0048140,The Cardinal
270730,an0052442,The Chalk Garden
17675462,an0052486,Becket
6137154,an0052511,The Fall of the Roman Empire
18116,an0052469,The Unsinkable Molly Brown
9369720,an0052438,Seven Days in May
13089710,an0054039,Cat Ballou
20820994,an0054054,A Patch of Blue
6654313,an0054131,A Thousand Clowns
3579,an0054078,Morituri
17182126,an0054112,The Flight of the Phoenix
872333,an0054408,The Sand Pebbles
8621462,an0054441,Georgy Girl
3090465,an0054414,The Fortune Cookie
12875258,an0054481,Grand Prix
11408650,an0054447,The Professionals
10194157,an0048804,La Guerre Est Finie
14290364,an0048792,In Cold Blood
9961796,an0048836,The Jungle Book
8659601,an0048776,Guess Who's Coming to Dinner
44652,an0048823,The Dirty Dozen
310459,an0055620,Funny Girl
18126198,an0051408,
2118745,an0055689,Star!
13125947,an0055640,The Odd Couple
227651,an0055621,The Subject Was Roses
703292,an0056400,Z
5821978,an0056392,Easy Rider
12294652,an0056395,Last Summer
19057,an0056384,The Prime of Miss Jean Brodie
8652190,an0049422,
213753,an0055894,M*A*S*H
77392,an0055892,Five Easy Pieces
9593913,an0055911,Ryan's Daughter
227865,an0055932,Airport
5287473,an0055893,The Landlord
7842288,an0056997,The Conformist
334123,an0057039,Straw Dogs
65119,an0056996,A Clockwork Orange
114954,an0056988,The Go-Between
179064,an0056993,A Clockwork Orange
7619057,an0053951,The Godfather
7824322,an0053976,The Poseidon Adventure
18130,an0053988,Young Winston
13615258,an0054008,Sleuth
12000020,an0053962,Sleuth
77390,an0050435,Serpico
816953,an0050436,The Sting
5391115,an0050498,Cinderella Liberty
150037,an0050438,The Exorcist
60400,an0050453,Cries and Whispers
5152478,an0053371,Murder on the Orient Express
6468666,an0053400,Shanks
139253,an0053370,Lenny
334643,an0053345,The Godfather Part II
7488244,an0053381,Murder on the Orient Express
13083,an0051294,The Man in the Glass Booth
6584188,an0051348,The Man Who Would Be King
111450,an0051302,One Flew over the Cuckoo's Nest
172327,an0057431,
12930,an0051340,The Man Who Would Be King
83369,an0054606,Bugsy Malone
10798416,an0054536,Taxi Driver
59263,an0054555,Rocky
8235178,an0054553,Voyage of the Damned
297249,an0054559,Seven Beauties
769483,an0051027,Star Wars
781110,an0051047,A Little Night Music
47624,an0051017,Close Encounters of the Third Kind
13139,an0051046,Julia
13206900,an0049017,
12893742,an0050154,Midnight Express
16131484,an0050163,The Wiz
368468,an0050192,Heaven Can Wait
12700353,an0049404,
7726143,an0050143,The Deer Hunter
28195,an0057093,Kramer vs. Kramer
37586,an0057148,All That Jazz
493456,an0057149,Breaking Away
144349,an0057096,La Cage aux Folles
11594257,an0057094,Apocalypse Now
8709523,an0054796,Raging Bull
10757833,an0054787,Gloria
7996,an0054845,The Elephant Man
7747064,an0051803,
12401556,an0054816,The Formula
331920,an0049763,On Golden Pond
85990,an0049753,Arthur
18692431,an0049735,The French Lieutenant's Woman
2146957,an0049760,Ragtime
187181,an0053899,
20560137,an0056366,
297792,an0051968,My Favorite Year
13831,an0051996,Sophie's Choice
12812550,an0052022,An Officer and a Gentleman
144350,an0056362,
10576365,an0052106,The Big Chill
8525590,an0052095,Testament
262430,an0052122,Educating Rita
33676,an0052147,Silkwood
106085,an0052108,Cross Creek
8685612,an0054891,
324277,an0052829,A Passage to India
6574102,an0052816,Under the Volcano
59264,an0052847,A Passage to India
6609765,an0052825,A Soldier's Story
12716010,an0048531,
8564935,an0048055,The Color Purple
3213286,an0048528,
25373,an0048011,Murphy's Romance
9409458,an0048048,Witness
13667,an0051437,
270805,an0049149,Mona Lisa
7719245,an0049203,Aliens
784911,an0049185,A Room with a View
8680278,an0049179,The Color of Money
136782,an0050955,Broadcast News
8726744,an0050915,Gaby - A True Story
5217282,an0053310,
13662,an0050934,The Last Emperor
2402971,an0050912,Moonstruck
9378297,an0054376,Coming to America
310146,an0054305,Pelle the Conqueror
568645,anxxx046,
8492856,an0054348,A Handful of Dust
17020,an0054309,A Cry in the Dark
23734628,an0052794,Amazon Diary
13376,an0052729,Steel Magnolias
27266,an0052749,Born on the Fourth of July
12971616,an0052711,My Left Foot
5454,an0052783,Parenthood
7664334,an0053100,Reversal of Fortune
34494,an0053123,Avalon
7402393,an0053144,Young Guns II
100464,an0053106,Metropolitan
23174274,an0053080,Cyrano de Bergerac
5310515,an0049457,Bugsy
14061955,an0049438,Cape Fear
6050678,an0049510,Beauty and the Beast
7243142,an0049436,The Silence of the Lambs
2179276,an0049493,The Silence of the Lambs
12680907,an0047685,
6604794,an0050378,Unforgiven
272895,an0050340,Enchanted April
17347389,an0050401,A River Runs through It
4325,an0050339,Husbands and Wives
8428064,an0049077,The Fugitive
395871,an0049061,Short Cuts
3575676,an0049046,What's Love Got to Do with It
10626594,an0049057,Fearless
201341,an0049109,Philadelphia
5047880,an0053224,The Shawshank Redemption
162089,an0049375,
65118,an0053250,Speed
6134826,an0053281,89mm od Europy (89mm from Europe)
17623975,an0053236,Bullets over Broadway
1661957,an0051172,Dead Man Walking
270804,an0051129,Braveheart
13835,an0051125,Dead Man Walking
8835379,an0051117,Rob Roy
6581511,an0051184,Nixon
13837,an0047817,Fargo
150739,an0047783,Shine
8709526,an0047781,Fargo
13324841,an0047794,Trainspotting
7137775,an0047775,The English Patient
3432478,an0048563,Boogie Nights
51428,an0048549,Wag the Dog
24120519,an0048601,Air Force One
31122,an0057287,
7933617,an0048550,As Good as It Gets
20821111,an0057260,Pleasantville
34262,an0057198,Gods and Monsters
2753843,an0057197,Hilary and Jackie
9565548,an0057236,Out of Sight
113304,an0057228,Velvet Goldmine
4588949,an0055225,Angela's Ashes
2921082,anxxx052,
690926,an0055177,The End of the Affair
6267237,an0055191,The Green Mile
2985500,an0055193,The Talented Mr. Ripley
5452,an0050845,Gladiator
25346,an0050866,U-571
11925514,an0050883,Rejected
270807,an0050806,Requiem for a Dream
1254951,an0050847,Wonder Boys
2241059,an0055396,Training Day
9627755,an0055466,Artists and Orphans: A True Drama
20698530,an0055406,Mulholland Drive
15704459,an0055426,Moulin Rouge
6693332,an0055425,The Man Who Wasn't There
662597,an0051799,
24780,an0054909,About Schmidt
11966216,an0054912,The Quiet American
2722413,an0054963,Chicago
44184,an0054911,Gangs of New York
1651302,an0055291,Thirteen
18189606,an0055314,Cold Mountain
127823,an0055315,Master and Commander: The Far Side of the World
26074181,an0055306,Seabiscuit
3099787,an0055334,House of Sand and Fog
2325825,an0053890,
5056084,an0056638,Autism Is a World
22188,an0056624,The Incredibles
80674,an0056580,The Aviator
11563110,an0056600,Finding Neverland
3412815,an0057413,Six Shooter
6408862,an0057367,Pride & Prejudice
24784,an0057373,Pride & Prejudice
22489107,an0057335,Capote
6686092,an0057343,Syriana
9659607,an0053605,
5453,an0056755,Blood Diamond
19448,an0056719,The Prestige
23228,an0056779,Lifted
3393124,an0056705,Little Miss Sunshine
7778981,an0052325,Into the Wild
355917,an0052371,3:10 to Yuma
10429092,an0052318,Away from Her
7137327,an0052323,The Assassination of Jesse James by the Coward Robert Ford
6043849,an0052337,Juno
5267365,an0048965,Wanted
89763,an0048982,Smile Pinki
108077,an0048961,The Dark Knight
10215349,an0048980,The Garden
7930335,an0048943,Milk
13253276,an0048286,Up in the Air
1829709,an0048290,Precious: Based on the Novel 'Push' by Sapphire
542414,an0048364,Coraline
46777,an0048292,Inglourious Basterds
1895792,an0048390,Kavi
1537534,an0310784,The Fighter
19549841,an0310791,The Social Network
11947829,an0310783,The King's Speech
3992598,an0310767,Winter's Bone
6950688,an0310828,Inception
9888775,an0367896,Margin Call
8458018,an0367873,Moneyball
16151178,an0367891,The Tree of Life
1314332,an0367872,Tinker Tailor Soldier Spy
104378,an0367932,Jane Eyre
18080920,an0428428,Silver Linings Playbook
12432220,an0428422,Lincoln
41667,an0428454,Anna Karenina
4070493,an0428513,Fresh Guacamole
7198988,an0428515,Paperman
15820748,an0481897,Nebraska
16069030,an0469116,
118944,an0481796,Captain Phillips
17378508,an0481809,Gravity
7540092,an0481758,The Wolf of Wall Street
10128428,an0605825,
9917938,an0606499,Whiplash
127459,an0606525,The Grand Budapest Hotel
3054684,an0606472,Gone Girl
15861491,an0606534,The Grand Budapest Hotel
13830,an0704482,Creed
34501,an0704534,Mad Max: Fury Road
355916,an0704543,Bridge of Spies
13836,an0704582,Shok
18798983,an0704491,The Revenant
10798418,an0808554,Arrival
20727654,an0808623,4.1 Miles
183656,an0808555,Fences
544257,an0808569,Arrival
187811,an0808570,La La Land
3047849,an0924765,Heaven Is a Traffic Jam on the 405
6431790,an0908195,The Shape of Water
19469,an0943624,The Shape of Water
6448470,an0943563,The Shape of Water
395922,an0943623,Mudbound
332775,an1141367,Roma
9462795,an1124544,If Beale Street Could Talk
7739934,an1182887,
1524173,an1141303,The Favourite
6316171,an1139342,Roma
15283043,an1295720,Knives Out
18053060,an1295873,The Neighbors' Window
19351043,an1296007,Ford v Ferrari
8962,an1295700,A Beautiful Day in the Neighborhood
169756,an1295058,Once upon a Time...in Hollywood
6342491,an1478486,The Father
1672727,an1478555,Sound of Metal
1814843,an1482212,Judas and the Black Messiah
13833,an1482191,Da 5 Bloods
6387565,an1482207,Promising Young Woman
386286,an1638522,Don't Look Up
37743,an1638359,CODA
13326831,an1636310,King Richard
13829,an1636328,The Power of the Dog
9615347,an1638400,The Queen of Basketball
402014,an1829483,The Banshees of Inisherin
13618440,an1825796,Everything Everywhere All at Once
77394,an1829417,Triangle of Sadness
71865,an1825788,Aftersun
18140047,an1819943,Black Panther: Wakanda Forever
6686101,an2043541,Oppenheimer
224500,an1922499,
104379,an2043582,El Conde
18879761,an2043598,Poor Things
17383994,an1922497,
13436373,fake_nomid017,The Substance
13522285,fake_nomid014,The Apprentice
12476820,fake_nomid050,Conclave
3047850,fake_nomid016,I'm Still Here
3047851,fake_nomid020,A Real Pain
