PersonID,FullName,NominationID
9780439023480,Paramount Famous Lasky,an0051248
9780439554930,Metro-Goldwyn-Mayer,an0051249
9780316015840,Janet Gaynor,an0051254a
9780525478810,Gerald Duffy,an0051271
9780062024040,The Caddo Company,an0051244
9780439023500,Metro-Goldwyn-Mayer,an0053788
9780439655480,Chester Morris,an0053793
9780439023510,Frank Lloyd,an0053802
9780439358070,Paramount Famous Lasky,an0053790
9780439064870,George Barnes,an0053824
9780439139600,Greta Garbo,an0053850
9780545010220,Norma Shearer,an0053852
9780439785970,George Arliss,an0053840
9780060764890,Norma Shearer,an0053847
9780786838650,George Arliss,an0053839
9780375831000,Samuel Goldwyn - United Artists,an0050118
9780316160190,Fox,an0050076
9781416914280,Rowland Brown,an0050101
9780316160210,Marlene Dietrich,an0050086
9780375826700,Paramount Publix,an0050078
9780679879240,Alfred Lunt,an0053440
9780671027350,Paramount Publix,an0053473
9780007442910,Wallace Beery,an0053438
9780812550700,RKO Radio,an0053470
9780316068050,Gordon Wiles,an0053457
9780142402510,Robert Riskin,an0052217
9780439244190,Fox,an0052206
9780142414930,Bunny Dull,an0052241
9780140385720,Frank Lloyd,an0052213
9780385737940,Fox,an0052197
9780007524270,W. S. Van Dyke,an0056498
9780440498060,Victor Schertzinger,an0056497
9780385729340,Scott Beal,an0056523
9780451528830,Cullen Tate,an0056524
9781416914300,Grace Moore,an0056493
9781594744760,Eric Stacey,an0050290
9781595141710,Merle Oberon,an0050252
9780525421030,Universal,an0050317
9780786856860,Hermes Pan,an0050301
802734375,Richard Day,an0050269
9781423101470,Robert Hopkins,an0056293
9781250012580,Metro-Goldwyn-Mayer,an0056263
9780525423640,William Anthony McGuire,an0056292
9780739380340,William S. Darling,an0056306
9780316042670,Samuel Goldwyn Productions,an0056257
9781416975860,Sammy Lee,an0047952
9780689865380,Alexander Toluboff,an0047925
9781416989420,Skibo Productions,an0047977
9780062059930,Hermes Pan,an0047948
9780141382890,Greta Garbo,an0047885
9780066238500,Tom Held,an0049916
9780316043140,Hunt Stromberg,an0053632
9780786817870,King Vidor,an0049870
9780385738930,Robert de Grasse,an0049890
9780141310890,Frank Wead,an0049876
9780440227530,John Victor Mackay,an0047498
9780439366780,Judy Garland,an0055843
9780312360270,Aaron Copland,an0047539
9780375869020,Geraldine Fitzgerald,an0047459
9780312641890,Alfred Newman,an0047543
9780385738750,Victor Young,an0053047
9780590920680,Ginger Rogers,an0052929
9780525476890,Werner Heymann,an0053057
9780061726840,Albert Basserman,an0052935
9780061139380,Warren Low,an0053010
9780061125270,Cole Porter,an0056901
145165801X,Orson Welles,an0056802
9780385751060,Harold F. Kress,an0056882
9781442403540,Max Steiner,an0056915
9780060530920,James Gleason,an0056811
9780439709100,Irving Berlin,an0051640
9781442416860,Richard Hageman,an0051735
9780375806810,20th Century-Fox,an0051755
9781423166010,Edward Ward,an0051741
9780399256750,George Amy,an0051701
9780060764910,Frederic E. Rich,an0049680
9780061969550,Ernst Lubitsch,an0049580
9780007202300,Walter Scharf,an0049672
9780061985880,Katina Paxinou,an0049572
9781416975880,Australian Department of Information Film Unit,anxxx020
9780152063960,Warner Bros.,an0052692
9780525423270,Franke Harling,an0052667
9780679879250,Bing Crosby,an0052546
9780439488400,Barbara McLean,an0052628
9781423113390,H. J. Salter,an0052657
9780385738770,Miklos Rozsa,an0056075
9780525421580,Leo McCarey,an0056002
9781595141750,Charles Nelson,an0056055
9780440439880,Richard Schweizer,an0056009
9780689840920,Jack Cosgrove,an0056058
9781599906960,Arthur Hilton,an0047629
9781595141970,Clarence Brown,an0047594
9780747599880,Jacques Prevert,an0047605
9780312532760,Liberty Films,an0047570
9781595142500,The March of Time,an0047663
9781595141990,Elia Kazan,an0048679
9780545044260,Charles Chaplin,an0048692
9780062059960,Monica Collingwood,an0048713
9781416914630,RKO Radio,an0048656
9781423140600,Thomas Gomez,an0048671
9781416989430,United States Army Air Force,an0050072
9780061726810,Ray Heindorf,an0050053
9780670061050,Robert Planck,an0050021
9780375826730,Dan Dailey,an0049981
9780312360280,Frank Sullivan,an0050034
9780399162410,M. B. Paul,an0052267
9781406321340,Richard L. Van Enger,an0056201
9780525422940,William A. Wellman,an0056158
9780440238160,Ethel Barrymore,an0056151
9780375822740,Graham Greene,an0056169
1481422340,John Huston,an0055078
9780613371650,Jeff Chandler,an0055067
9780062059990,Andre Previn,an0055143
9780545265360,Columbia,an0751305
9780802798240,Judy Holliday,an0055061
9780689865400,Miklos Rozsa,an0050744
9780061978070,George Stevens,an0050675
9780316134030,Leon Shamroy,an0050701
9781409151170,Alfred Newman,an0050749
9780142406250,Oscar Millard,an0050682
9780439861370,José Ferrer,an0049255
9781595143070,Alex North,an0049342
9780060887310,Bob Hope,an0051215
9780394820380,Leo McCarey,an0049278
9780786851970,Julie Harris,an0049260
9780446617800,Dublin Gate Theatre Productions,an0050639
9780374480100,Montgomery Clift,an0050534
9781442426640,Walter Plunkett,an0050592
9780689875340,Marlon Brando,an0050532
9780316013680,Charles Walters,an0050553
9780553383040,Richard Day,an0054708
9780743253970,Claire Trevor,an0054677
9780385739150,Boris Kaufman,an0054698
9780064405040,Irene Sharaff,an0054724
9781481426300,Ralph Dawson,an0054735
9780142501560,Katharine Hepburn,an0054177
9780689841580,Joe Mantell,an0054182
9780062085480,Sal Mineo,an0054183
9780316134120,Alma Macrorie,an0054247
9780007202320,Jo Van Fleet,an0054185
9780312360310,Michael Wilson,an0051518
9780060874160,Eddie Cantor,an0049710
9780375856110,Mildred Dunnock,an0051500
9780142421710,Helen Rose,an0051545
9781423100030,Rock Hudson,an0051487
9780670011940,Jack Hildyard,an0053549
9781423146730,Charles LeMaire,an0053560
9780061448770,Orry-Kelly,an0053559
9780060739490,Anthony Franciosa,an0053516
9781416912040,David Lean,an0053534
9780545422900,Peggy Cass,an0055507
9780316125580,Tony Curtis,an0055492
9780060529960,Gig Young,an0055505
9780064471830,Ray Heindorf,an0055570
9780373210080,Hugo Friedhofer,an0055567
9781595143170,Bob Hope,an0049964
9780312642980,Lionel Newman,an0055820
1416927247,Robert Anderson,an0055758
9780312379830,James Stewart,an0055734
9780744583270,Susan Kohner,an0055747
9781905654950,Melina Mercouri,an0051855
9780439813780,Deni Vachlioti,an0051902
9781905654580,Howard Shoup,an0051903
9780064410340,Deborah Kerr,an0051853
9780395137190,Marjorie Best,an0051910
9780316084240,Henry Mancini,an0048480
9780670010880,Dimitri Tiomkin,an0048483
9780061671360,Una Merkel,an0048417
9780307931890,Elmer Bernstein,an0048484
9780060288140,Stanley Kramer,an0056655
9780590452040,Angela Lansbury,an0053661
9780385732570,Marcello Mastroianni,an0053646
9780142401200,Ferris Webster,an0053715
9780061214650,Norma Koch,an0053698
9780061662690,Elmer Bernstein,an0053729
9781594747360,Walter Plunkett,an0048188
9781423140570,Lucien Ballard,an0048163
9780786851480,Leith Stevens,an0048217
9780385755890,James R. Webb,an0048156
9780552562520,John Huston,an0048140
9780689865190,Dame Edith Evans,an0052442
9780545424930,Margaret Furse,an0052486
9780803734620,Dimitri Tiomkin,an0052511
9780440238610,Daniel L. Fapp,an0052469
9780385739160,Edmond O'Brien,an0052438
9780385742890,Lee Marvin,an0054039
9780803734970,Shelley Winters,an0054054
9780545123280,Don Walker,an0054131
76783609419,Conrad Hall,an0054078
9780385743560,Michael Luciano,an0054112
9780786838930,Steve McQueen,an0054408
9781406311520,Ken Higgins,an0054441
9780739352360,Walter Matthau,an0054414
9780679644190,Gordon Daniel,an0054481
9781453860950,Conrad Hall,an0054447
9780805094600,Jorge Semprun,an0048804
9780399256780,Richard Brooks,an0048792
9780525423290,Terry Gilkyson,an0048836
9780061974560,Katharine Hepburn,an0048776
9781590385810,Metro-Goldwyn-Mayer,an0048823
9780140348930,Barbra Streisand,an0055620
9780062285680,Martha Raye,an0051408
9781406310250,Lennie Hayton,an0055689
9780525423670,Neil Simon,an0055640
9781416924980,Patricia Neal,an0055621
9780440995780,Costa-Gavras,an0056400
9781416968240,Jack Nicholson,an0056392
9780803736990,Catherine Burns,an0056395
9780375836670,Maggie Smith,an0056384
9780312650250,George Jessel,an0049422
9780399256450,Sally Kellerman,an0055894
9780553213170,Karen Black,an0055892
9780062014540,Freddie Young,an0055911
9780141321320,Stuart Gilmore,an0055932
9781423121300,Lee Grant,an0055893
9780316077060,Bernardo Bertolucci,an0056997
9780786818590,Jerry Fielding,an0057039
9780439272640,Stanley Kubrick,an0056996
9781423104000,Margaret Leighton,an0056988
9781582349910,Stanley Kubrick,an0056993
9780099549340,James Caan,an0053951
9780399254120,Harold E. Stine,an0053976
9780440487620,Anthony Mendleson,an0053988
9780062237420,John Addison,an0054008
9781442408920,Joseph L. Mankiewicz,an0053962
9780553213140,Al Pacino,an0050435
9780142401770,Robert Redford,an0050436
9780061662770,John Williams,an0050498
9780060566230,Ellen Burstyn,an0050438
9780142406630,Ingmar Bergman,an0050453
9780670011100,Geoffrey Unsworth,an0053371
9781841497130,Alex North,an0053400
9780679734770,Bruce Surtees,an0053370
9780060278250,Michael V. Gazzo,an0053345
9780061996160,Tony Walton,an0053381
9780440421700,Maximilian Schell,an0051294
9781416995560,Russell Lloyd,an0051348
9780439321620,Brad Dourif,an0051302
9780060566210,Bell & Howell,an0057431
9780385732540,Edith Head,an0051340
9780316057780,Paul Williams,an0054606
9780316122380,Robert De Niro,an0054536
9780786836540,John G. Avildsen,an0054555
9781595143980,Lee Grant,an0054553
9780807508530,Lina Wertmüller,an0054559
9780060577320,George Lucas,an0051027
9780689848920,Florence Klotz,an0051047
9780060590160,Melinda Dillon,an0051017
9780316155600,Anthea Sylbert,an0051046
385741774,Gordon E. Sawyer,an0049017
9781423140570,Oliver Stone,an0050154
9781421513430,Oswald Morris,an0050163
9780385323060,Dave Grusin,an0050192
9781419701760,Walter Lantz,an0049404
9780062003940,Meryl Streep,an0050143
9780439554010,Robert Benton,an0057093
9780786849570,Ralph Burns,an0057148
9781416951180,Patrick Williams,an0057149
9780399244550,Edouard Molinaro,an0057096
9781907411050,Francis Coppola,an0057094
9781595143180,Cathy Moriarty,an0054796
9780316123520,Gena Rowlands,an0054787
9781862301380,John Morris,an0054845
9780373210140,Fred Hynes,an0051803
9780812983610,James Crabe,an0054816
9780375825450,Billy Williams,an0049763
9781599900740,Steve Gordon,an0049753
9780553496640,Meryl Streep,an0049735
9781590388980,Michael Weller,an0049760
9780449213440,Albert R. Broccoli,an0053899
9781595148030,Leonard Chapman,an0056366
9780064410140,Peter O'Toole,an0051968
9780689878560,Alan J. Pakula,an0051996
9780316133980,Peter Zinner,an0052022
9780399244580,John O. Aalberg,an0056362
9781423157370,Glenn Close,an0052106
9781442409060,Jane Alexander,an0052095
9780439771340,Willy Russell,an0052122
9780316155600,Sam O'Steen,an0052147
9780786838940,Alfre Woodard,an0052108
9780373210180,Linwood G. Dunn,an0054891
9780064410120,Peggy Ashcroft,an0052829
9781423116390,Albert Finney,an0052816
9780786818620,David Lean,an0052847
9781416971700,Adolph Caesar,an0052825
9780062285680,Charles 'Buddy' Rogers,an0048531
9781453688940,Aggie Guerard Rodgers,an0048055
9780142412140,Paul Newman,an0048528
9780375835320,James Garner,an0048011
9780545259090,John Seale,an0048048
9781416509650,BRAN FERREN,an0051437
9781416903570,Bob Hoskins,an0049149
9780061985840,Ray Lovejoy,an0049203
9781590387430,Tony Pierce-Roberts,an0049185
9781416995590,Richard Price,an0049179
9780142401650,Richard Marks,an0050955
9780316132910,Norma Aleandro,an0050915
9781606410420,TADEUZ KRZANOWSKI,an0053310
9780689845370,Vittorio Storaro,an0050934
9780385733590,Vincent Gardenia,an0050912
9780765328660,Rick Baker,an0054376
9780380714760,Max von Sydow,an0054305
9781423100060,the National Film Board of Canada,anxxx046
9780670012950,Jane Robinson,an0054348
9780060541440,Meryl Streep,an0054309
9781250049550,Robert Nixon,an0052794
9780689852240,Julia Roberts,an0052729
9780451219950,Robert Richardson,an0052749
9780061974590,Daniel Day Lewis,an0052711
9780385731060,Randy Newman,an0052783
9781416990660,Barbet Schroeder,an0053100
9780060012380,Gloria Gresham,an0053123
9780399254830,Jon Bon Jovi,an0053144
9781904442490,Whit Stillman,an0053106
9780062310670,Gerard Depardieu,an0053080
9780385737420,Barry Levinson,an0049457
9780805094600,Robert De Niro,an0049438
9781416971730,Alan Menken,an0049510
9781606412380,Anthony Hopkins,an0049436
9781423108370,Craig McKay,an0049493
9780803734740,Ken Bates,an0047685
9780803734950,Joel Cox,an0050378
9780965476030,Joan Plowright,an0050340
9780545424940,Mark Isham,an0050401
9780142401750,Judy Davis,an0050339
9781423121310,Michael Chapman,an0049077
9780061140980,Robert Altman,an0049061
9781416974530,Angela Bassett,an0049046
9780545224900,Rosie Perez,an0049057
9780441005760,Bruce Springsteen,an0049109
9780061449060,Frank Darabont,an0053224
9780060887340,Michelangelo Antonioni,an0049375
9781405206130,Stephen Hunter Flick,an0053250
9780312532760,Marcel Lozinski,an0053281
9780142422950,Jeffrey Kurland,an0053236
9781416953580,Bruce Springsteen,an0051172
9781416940910,Randall Wallace,an0051129
9780689878560,Tim Robbins,an0051125
9780805092520,Tim Roth,an0051117
9780312590440,John Williams,an0051184
9780689878570,Roderick Jaynes,an0047817
9780152045660,Scott Hicks,an0047783
9781595143200,Joel Coen,an0047781
9780547887200,John Hodge,an0047794
9780802720860,Juliette Binoche,an0047775
9780575090860,Julianne Moore,an0048563
9780385733410,Dustin Hoffman,an0048549
9781594747590,Richard Francis-Bruce,an0048601
9780312181110,Stanley Donen,an0057287
9781905654870,Helen Hunt,an0048550
9780399167840,Randy Newman,an0057260
9780786849080,Lynn Redgrave,an0057198
9781423102280,Rachel Griffiths,an0057197
9780547628350,Anne V. Coates,an0057236
9781903434770,Sandy Powell,an0057228
9780385735290,John Williams,an0055225
9780545060390,Edmund M. Di Giulio,anxxx052
9780316003730,Julianne Moore,an0055177
9781423102270,Frank Darabont,an0055191
9781416974510,Anthony Minghella,an0055193
9780553375930,Pietro Scalia,an0050845
9780439771280,Jon Johnson,an0050866
9781405258210,Don Hertzfeldt,an0050883
9781416903540,Ellen Burstyn,an0050806
9780061345660,Dede Allen,an0050847
9781416950060,Ethan Hawke,an0055396
9780525425630,Lianne Klapper McNally,an0055466
9781442426730,David Lynch,an0055406
9780385743590,Donald M. McAlpine,an0055426
9780385905170,Roger Deakins,an0055425
9780439324600,Jim Songer,an0051799
9780805080480,Jack Nicholson,an0054909
9781250006320,Michael Caine,an0054912
9780061284400,Colleen Atwood,an0054963
9780064407310,Daniel Day-Lewis,an0054911
9780060887380,Holly Hunter,an0055291
9781442435000,Walter Murch,an0055314
9780399244570,Lee Smith,an0055315
9780062392180,Gary Ross,an0055306
9781416974500,James Horner,an0055334
9781905294720,Steven E. Boze,an0053890
9780061668040,Gerardine Wurzburg,an0056638
9780316910330,Brad Bird,an0056624
9780142408800,Robert Richardson,an0056580
9780061996180,Jan A.P. Kaczmarek,an0056600
9781595547160,Martin McDonagh,an0057413
9781906427140,Jacqueline Durran,an0057367
9780805080490,Dario Marianelli,an0057373
9781250060560,Bennett Miller,an0057335
9780061449090,Stephen Gaghan,an0057343
9780373210370,Sherry Lansing,an0053605
9780385729370,Lon Bender,an0056755
9780064472780,Wally Pfister,an0056719
9780375832990,Gary Rydstrom,an0056779
9780316002900,Michael Arndt,an0056705
9780312656260,Hal Holbrook,an0052325
9780060577360,Marco Beltrami,an0052371
9780062026480,Julie Christie,an0052318
9780312650090,Casey Affleck,an0052323
9781406310270,Diablo Cody,an0052337
9781423116390,Wylie Stateman,an0048965
9780439120420,Megan Mylan,an0048982
9780440228000,Richard King,an0048961
9780373210510,Scott Hamilton Kennedy,an0048980
9780316123530,Danny Glicker,an0048943
9780062072060,George Clooney,an0048286
9780316002870,Gabourey Sidibe,an0048290
9780142405790,Henry Selick,an0048364
9780689867040,Christoph Waltz,an0048292
9780061140980,Gregg Helvey,an0048390
9780060887390,David O. Russell,an0310784
9780374324920,Aaron Sorkin,an0310791
9781250006330,Tom Hooper,an0310783
9781423121660,Jennifer Lawrence,an0310767
9781423128200,Hans Zimmer,an0310828
9781402262270,J.C. Chandor,an0367896
9780385735340,Brad Pitt,an0367873
9781402271880,Terrence Malick,an0367891
9780385613460,Gary Oldman,an0367872
9780142401770,Michael O'Connor,an0367932
9780062285640,Jacki Weaver,an0428428
9780545284130,Tommy Lee Jones,an0428422
9780142401120,Seamus McGarvey,an0428454
9781599903380,PES,an0428513
9780312590970,John Kahrs,an0428515
9780062248170,Bob Nelson,an0481897
9780374384680,Angela Lansbury,an0469116
9781596431520,Christopher Rouse,an0481796
9780545424970,Steven Price,an0481809
9781406310280,Jonah Hill,an0481758
9780545027890,Magnus Wrenninge,an0605825
9781442429990,Damien Chazelle,an0606499
9780385730300,Milena Canonero,an0606525
9780061284400,Rosamund Pike,an0606472
9780061974620,Alexandre Desplat,an0606534
9780689878590,Sylvester Stallone,an0704482
9780552552650,Jenny Beavan,an0704534
9780060577380,Thomas Newman,an0704543
9781416903440,Jamie Donoughue,an0704582
9780399171610,Alejandro G. Iñárritu,an0704491
9780316127260,Eric Heisserer,an0808554
9781477823840,Daphne Matziaraki,an0808623
9780060575810,August Wilson,an0808555
9780451222380,Bradford Young,an0808569
9780060725110,Linus Sandgren,an0808570
9780061566130,Frank Stiefel,an0924765
9780316036190,Guillermo del Toro,an0908195
9780385323280,Dan Laustsen,an0943624
9780061935080,Richard Jenkins,an0943563
9780061020000,Rachel Morrison,an0943623
9780340893610,Alfonso Cuarón,an1141367
9780062011990,Nicholas Britell,an1124544
9780312590990,Cicely Tyson,an1182887
9781741661290,Yorgos Lanthimos,an1141303
9780316041450,Alfonso Cuarón,an1139342
9780062235660,Rian Johnson,an1295720
9780062280670,Marshall Curry,an1295873
9780802723470,Donald Sylvester,an1296007
9780316905720,Tom Hanks,an1295700
9780763622600,Leonardo DiCaprio,an1295058
9781423118240,Anthony Hopkins,an1478486
9781416913180,Paul Raci,an1478555
9781741661350,Sean Bobbitt,an1482212
9781416903380,Terence Blanchard,an1482191
9780394895900,Frédéric Thoraval,an1482207
9780064400590,Hank Corwin,an1638522
9780330397800,Troy Kotsur,an1638359
9780547959110,Will Smith,an1636310
9780375814690,Jane Campion,an1636328
9781596437140,Ben Proudfoot,an1638400
9780060288140,Mikkel E.G. Nielsen,an1829483
9780316134070,Jamie Lee Curtis,an1825796
9780553213190,Ruben Östlund,an1829417
9780439829110,Paul Mescal,an1825788
9780374346680,Ruth Carter,an1819943
9780061449120,Christopher Nolan,an2043541
9780142406120,Angela Bassett,an1922499
9780670061100,Edward Lachman,an2043582
9780451471480,Yorgos Mavropsaridis,an2043598
9780062278780,Carol Littleton,an1922497
9780545327000,Demi Moore,fake_nomid017
9780062217130,Sebastian Stan,fake_nomid014
9780062071040,Nick Emerson,fake_nomid050
9780061566080,Fernanda Torres,fake_nomid016
9780061566170,Kieran Culkin,fake_nomid020
